fdc_id,description,food_category_id
325746,"white bread, store brand, kroger bread ",18
325753,"white bread, store brand, lowes food store ",18
325760,"white bread, store brand, shop rite round top white ",18
325767,"white bread, store brand, kroger bread ",18
325774,"white bread, store brand, publix bread ",18
325781,"white bread, store brand, great value white ",18
325788,"white bread, store brand, safeway premium white ",18
325795,"white bread, pepperidge farms ",18
325810,"white bread, pepperidge farms ",18
325825,"white bread, pepperidge farms ",18
325841,"white bread, sara lee soft and smooth classic whole ",18
325856,"white bread, sara lee soft and smooth classic whole ",18
325993,"cheese, swiss, slices, sargento ultra thin ",1
325998,"cheese, swiss, slices, sargento ultra thin ",1
326004,"cheese, swiss, slices, sargento ultra thin ",1
326010,"cheese, swiss, slices, sargento ultra thin ",1
326024,"cheese, swiss, slices, store brand, food lion & american choice ",1
326030,"cheese, swiss, slices, sargento ultra thin ",1
326051,"cheese, swiss, slices, store brand, piggly wiggly ",1
326057,"cheese, swiss, slices, sargento ultra thin ",1
326076,"cheese, swiss, slices, store brand, shop rite & great value ",1
326082,"cheese, swiss, slices, store brand, kroger ",1
326100,"cheese, swiss, slices, store brand, hyvee & publix ",1
326114,"cheese, swiss, slices, store brand, lucerne ",1
326459,"mustard, yellow, frenchs classic ",2
326466,"mustard, yellow, frenchs classic ",2
326473,"mustard, yellow, frenchs classic ",2
326480,"mustard, yellow, store brand, americas choice & shop rite  ",2
326487,"mustard, yellow, store brand, my essentials & sunny select ",2
326494,"mustard, yellow, frenchs classic ",2
326510,"mustard, yellow, frenchs classic ",2
326529,"mustard, yellow, store brand, hy vee & publix ",2
326537,"mustard, yellow, frenchs classic ",2
326558,"mustard, yellow, store brand, safeway ",2
326572,"mustard, yellow, store brand, great value ",2
326591,"mustard, yellow, store brand, kroger ",2
327700,"lettuce, romaine, fresh ",11
327701,"lettuce, romaine, 3 heads ",11
327702,"lettuce, romaine, 2 ct ",11
327706,"lettuce, romaine, fresh ",11
327707,"lettuce, romaine, 1 head ",11
327708,"lettuce, romaine, 2 heads ",11
327709,"lettuce, romaine, 1 head ",11
327713,"lettuce, romaine, fresh ",11
327714,"lettuce, romaine, 1 head ",11
327715,"lettuce, romaine, 1 head ",11
327716,"lettuce, romaine, 2 heads ",11
327720,"lettuce, romaine, fresh ",11
327721,"lettuce, romaine ",11
327722,"lettuce, romaine ",11
327723,"lettuce, romaine, 3 heads ",11
327724,"lettuce, romaine ",11
327728,"lettuce, romaine, fresh ",11
327729,"lettuce, romaine, 1 head ",11
327730,"lettuce, romaine, 3 heads ",11
327731,"lettuce, romaine, 1 head ",11
327735,"lettuce, romaine, fresh ",11
327736,"lettuce, romaine, 1 head ",11
327737,"lettuce, romaine, 1 head ",11
327738,"lettuce, romaine, 3 ct ",11
327924,"cheddar cheese, sliced, cracker barrel ",1
327936,"cheddar cheese, sliced, tillamook ",1
327948,"cheddar cheese, sliced, cracker barrel ",1
327960,"cheddar cheese, sliced, cracker barrel ",1
327980,"cheddar cheese, sliced, cracker barrel ",1
327998,"cheddar cheese, sliced, sargento sharp  ",1
328008,"cheddar cheese, sliced, sargento natural sharp cheddar deli style ",1
328020,"cheddar cheese, sliced, tillamook ",1
328045,"cheddar cheese, sliced, storebrand, kroger ",1
328057,"cheddar cheese, sliced, store brand, crystal farms & shullsburg wisconsin ",1
328070,"cheddar cheese, sliced, sargento sharp  ",1
328094,"cheddar cheese, sliced, sargento sharp  ",1
328114,"cheddar cheese, sliced, store brand, sunnyside farms deli style sliced medium ",1
328122,"cheddar cheese, sliced, store brand, hyvee cracker cuts & publix ",1
328130,"cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ",1
328153,"cheddar cheese, sliced, store brand, great value deli style sliced sharp  ",1
328175,"cheddar cheese, sliced, store brand, publix & shoprite ",1
328191,"cheddar cheese, sliced, store brand, food lion ",1
328208,"cheese, cheddar, natural shredded sharp, store brand, great value ",1
328227,"cheese, cheddar, natural shredded mild, kraft ",1
328248,"cheese, cheddar, natural shredded sharp, kraft ",1
328266,"cheese, cheddar, natural shredded sharp, store brand ",1
328286,"cheese, cheddar, natural shredded sharp, store brand, skroger ",1
328305,"cheese, cheddar, natural shredded sharp, kraft ",1
328326,"cheese, cheddar, natural shredded mild, kraft ",1
328335,"cheese, cheddar, natural shredded mild, store brand  ",1
328344,"cheese, cheddar, natural shredded sharp, kraft ",1
328351,"cheese, cheddar, natural shredded sharp, store brand ",1
328358,"cheese, cheddar, natural shredded mild, kraft ",1
328376,"cheese, cheddar, natural shredded mild, store brand, great value ",1
328394,"cheese, cheddar, natural shredded mild, white, store brand ",1
328413,"cheese, cheddar, natural shredded mild, store brand, skroger ",1
328432,"cheese, cheddar, mild, block/chunk kraft ",1
328442,"cheese, cheddar, sharp, block/chunk kraft ",1
328454,"cheese, cheddar, mild, block/chunk kraft ",1
328472,"cheese, cheddar, mild, block/chunk, store brand, great value ",1
328490,"cheese, cheddar, mild, block/chunk, store brand  ",1
328508,"cheese, cheddar, mild, block/chunk kraft ",1
328529,"cheese, cheddar, sharp, block/chunk kraft ",1
328541,"cheese, cheddar, mild, block/chunk, store brand   ",1
328549,"cheese, cheddar, sharp, block/chunk, store brand, kroger ",1
328559,"cheese, cheddar, mild, block/chunk, store brand  ",1
328567,"cheese, cheddar, sharp, block/chunk kraft ",1
328585,"cheese, cheddar, sharp, block/chunk, store brand ",1
328594,"cheese, cheddar, sharp, block/chunk, store brand ",1
328601,"cheese, cheddar, sharp, block/chunk cabot, seriously sharp ",1
328620,"cheese, cheddar, sharp, block/chunk, store brand, great value ",1
328638,"cottage cheese, 2% milkfat, breakstone ",1
328646,"cottage cheese, 2% milkfat, breakstone ",1
328652,"cottage cheese, 2% milkfat, store brand/other brand, hy vee & daisy ",1
328660,"cottage cheese, 2% milkfat, daisy ",1
328679,"cottage cheese, 2% milkfat, breakstone ",1
328695,"cottage cheese, 2% milkfat, breakstone ",1
328713,"cottage cheese, 2% milkfat, store brand/other brand, kraft simply & meadow gold viva ",1
328721,"cottage cheese, 2% milkfat, store brand/other brand, friendship & horizon organic ",1
328729,"cottage cheese, 2% milkfat, store brand/other brand, friendship all natural & hyvee ",1
328736,"cottage cheese, 2% milkfat, daisy ",1
328751,"cottage cheese, 2% milkfat, knudsen ",1
328769,"cottage cheese, 2% milkfat, daisy ",1
328785,"cottage cheese, 2% milkfat, store brand/other brand, king soopers & kraft ",1
328793,"cottage cheese, 2% milkfat, store brand/other brand, kroger & safeway ",1
328809,"cottage cheese, 2% milkfat, daisy ",1
328824,"cottage cheese, 2% milkfat, store brand/other brand, sunnyside farms & daisy ",1
328842,"mozzarella cheese, low-moisture, part-skim, sargento ",1
328850,"mozzarella cheese, low-moisture, part-skim, kraft ",1
328857,"mozzarella cheese, low-moisture, part-skim, sargento ",1
328869,"mozzarella cheese, low-moisture, part-skim, kraft ",1
328881,"mozzarella cheese, low-moisture, part-skim, sargento ",1
328902,"mozzarella cheese, low-moisture, part-skim, sargento ",1
328924,"mozzarella cheese, low-moisture, part-skim, sargento ",1
328946,"mozzarella cheese, low-moisture, part-skim, kraft ",1
328967,"mozzarella cheese, low-moisture, part-skim, store brand, americas choice  ",1
